LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
637528.043344,637528.043319,1673972024.840058,3731490.333,21498,3,PG,1,100,814
637528.082904,637528.082879,1673972024.879617,3731528.667,21498,3,PG,1,100,822
637528.122464,637528.122440,1673972024.919177,3731567.000,21498,3,PG,1,100,808
637528.168905,637528.168880,1673972024.965616,3731612.000,21514,2,PG,1,100,810
637528.215345,637528.215320,1673972025.012055,3731657.000,21514,2,PG,1,100,809
637528.255249,637528.255225,1673972025.051958,3731695.667,21531,3,PG,1,100,810
637528.295154,637528.295129,1673972025.091861,3731734.333,21531,3,PG,1,100,818
637528.335058,637528.335033,1673972025.131764,3731773.000,21531,3,PG,1,100,812
637528.374274,637528.374249,1673972025.170979,3731811.000,21551,3,PG,1,100,807
637528.413491,637528.413466,1673972025.210194,3731849.000,21551,3,PG,1,100,810
637528.452707,637528.452682,1673972025.249410,3731887.000,21551,3,PG,1,100,809
637528.492439,637528.492414,1673972025.289141,3731925.500,21568,2,PG,1,100,808
637528.532171,637528.532147,1673972025.328872,3731964.000,21568,2,PG,1,100,812
637528.572076,637528.572051,1673972025.368775,3732002.667,21582,3,PG,1,100,809
637528.611980,637528.611955,1673972025.408678,3732041.333,21582,3,PG,1,100,816
637528.651884,637528.651859,1673972025.448581,3732080.000,21582,3,PG,1,100,814
637528.692649,637528.692624,1673972025.489345,3732119.500,21600,2,PG,1,100,809
637528.733413,637528.733388,1673972025.530108,3732159.000,21600,2,PG,1,100,806
637528.774005,637528.773980,1673972025.570699,3732198.333,21618,3,PG,1,100,810
637528.814597,637528.814573,1673972025.611290,3732237.667,21618,3,PG,1,100,818
637528.855190,637528.855165,1673972025.651881,3732277.000,21618,3,PG,1,100,814
637528.895438,637528.895413,1673972025.692128,3732316.000,21638,3,PG,1,100,814
637528.935686,637528.935662,1673972025.732375,3732355.000,21638,3,PG,1,100,808
637528.975935,637528.975910,1673972025.772623,3732394.000,21638,3,PG,1,100,811
637529.015151,637529.015126,1673972025.811838,3732432.000,21655,2,PG,1,100,809
637529.054367,637529.054342,1673972025.851053,3732470.000,21655,2,PG,1,100,812
637529.093927,637529.093903,1673972025.890612,3732508.333,21670,3,PG,1,100,805
637529.133488,637529.133463,1673972025.930171,3732546.667,21670,3,PG,1,100,823
637529.173048,637529.173023,1673972025.969730,3732585.000,21670,3,PG,1,100,807
637529.212264,637529.212240,1673972026.008945,3732623.000,21686,2,PG,1,100,810
637529.251481,637529.251456,1673972026.048161,3732661.000,21686,2,PG,1,100,811
637529.291729,637529.291704,1673972026.088408,3732700.000,21704,3,PG,1,100,816
637529.331977,637529.331952,1673972026.128655,3732739.000,21704,3,PG,1,100,815
637529.372225,637529.372201,1673972026.168902,3732778.000,21704,3,PG,1,100,812
637529.412130,637529.412105,1673972026.208805,3732816.667,21723,3,PG,1,100,805
637529.452034,637529.452009,1673972026.248708,3732855.333,21723,3,PG,1,100,811
637529.491938,637529.491914,1673972026.288612,3732894.000,21723,3,PG,1,100,809
637529.531671,637529.531646,1673972026.328343,3732932.500,21739,2,PG,1,100,815
637529.571403,637529.571378,1673972026.368074,3732971.000,21739,2,PG,1,100,808
637529.610963,637529.610938,1673972026.407633,3733009.333,21755,3,PG,1,100,810
637529.650523,637529.650499,1673972026.447192,3733047.667,21755,3,PG,1,100,811
637529.690084,637529.690059,1673972026.486751,3733086.000,21755,3,PG,1,100,810
637529.729644,637529.729619,1673972026.526310,3733124.333,21774,3,PG,1,100,805
637529.769204,637529.769180,1673972026.565870,3733162.667,21774,3,PG,1,100,803
637529.808765,637529.808740,1673972026.605429,3733201.000,21774,3,PG,1,100,823
637529.848669,637529.848644,1673972026.645332,3733239.667,21793,3,PG,1,100,808
637529.888573,637529.888548,1673972026.685235,3733278.333,21793,3,PG,1,100,815
637529.928477,637529.928453,1673972026.725138,3733317.000,21793,3,PG,1,100,813
637529.974918,637529.974893,1673972026.771577,3733362.000,21811,2,PG,1,100,816
637530.021358,637530.021333,1673972026.818016,3733407.000,21811,2,PG,1,100,814
637530.061606,637530.061582,1673972026.858263,3733446.000,21827,3,PG,1,100,819
637530.101855,637530.101830,1673972026.898511,3733485.000,21827,3,PG,1,100,814
637530.142103,637530.142078,1673972026.938758,3733524.000,21827,3,PG,1,100,805
637530.182867,637530.182843,1673972026.979521,3733563.500,21842,2,PG,1,100,808
637530.223632,637530.223607,1673972027.020284,3733603.000,21842,2,PG,1,100,804
637530.263536,637530.263511,1673972027.060187,3733641.667,21858,3,PG,1,100,814
637530.303440,637530.303415,1673972027.100090,3733680.333,21858,3,PG,1,100,815
637530.343344,637530.343320,1673972027.139993,3733719.000,21858,3,PG,1,100,810
637530.383249,637530.383224,1673972027.179897,3733757.667,21879,3,PG,1,100,809
637530.423153,637530.423128,1673972027.219800,3733796.333,21879,3,PG,1,100,817
637530.463057,637530.463033,1673972027.259703,3733835.000,21879,3,PG,1,100,811
637530.502274,637530.502249,1673972027.298918,3733873.000,21895,3,PG,1,100,809
637530.541490,637530.541465,1673972027.338133,3733911.000,21895,3,PG,1,100,809
637530.580706,637530.580681,1673972027.377348,3733949.000,21895,3,PG,1,100,823
637530.620954,637530.620930,1673972027.417596,3733988.000,21913,3,PG,1,100,810
