LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
637502.539000,637502.538976,1673971999.336439,3706777,17306,4,TX,1,100,637502.3753053,637502.3753198,
637502.960059,637502.960035,1673971999.757486,3707185,17378,4,TX,1,100,637502.8763034,637502.8763179,
637503.464711,637503.464686,1673972000.262124,3707674,17460,4,TX,1,100,637503.3763862,637503.3764007,
637503.918794,637503.918770,1673972000.716194,3708114,17533,4,TX,1,100,637503.8770574,637503.8770719,
637504.461630,637504.461605,1673972001.259015,3708640,17620,4,TX,1,100,637504.3771109,637504.3771317,
637504.991050,637504.991025,1673972001.788419,3709153,17707,4,TX,1,100,637504.8773729,637504.8773937,
637505.411077,637505.411052,1673972002.208434,3709560,17775,4,TX,1,100,637505.3783527,637505.3783735,
637505.909536,637505.909512,1673972002.706880,3710043,17863,4,TX,1,100,637505.8784708,637505.8784915,
637506.526677,637506.526652,1673972003.324003,3710641,17952,4,TX,1,100,637506.3785114,637506.3785278,
637506.921936,637506.921911,1673972003.719250,3711024,18023,4,TX,1,100,637506.8794587,637506.8794751,
637507.447227,637507.447203,1673972004.244527,3711533,18108,4,TX,1,100,637507.3796051,637507.3796215,
637507.910599,637507.910574,1673972004.707886,3711982,18179,4,TX,1,100,637507.8805787,637507.8805951,
637508.523611,637508.523587,1673972005.320880,3712576,18281,4,TX,1,100,637508.3811828,637508.3812138,
637508.935382,637508.935358,1673972005.732640,3712975,18351,4,TX,1,100,637508.8822200,637508.8822510,
637509.446226,637509.446201,1673972006.243469,3713470,18435,4,TX,1,100,637509.3828569,637509.3828879,
637509.917853,637509.917829,1673972006.715083,3713927,18508,4,TX,1,100,637509.8833233,637509.8833543,
637510.642322,637510.642298,1673972007.439532,3714629,18625,4,TX,1,100,637510.3839193,637510.3839372,
637510.921996,637510.921972,1673972007.719198,3714900,18678,4,TX,1,100,637510.8852926,637510.8853105,
637511.442128,637511.442104,1673972008.239315,3715404,18763,4,TX,1,100,637511.3858331,637511.3858510,
637511.911692,637511.911667,1673972008.708864,3715859,18841,4,TX,1,100,637511.8858868,637511.8859047,
637512.446271,637512.446247,1673972009.243429,3716377,18926,4,TX,1,100,637512.3866988,637512.3866975,
637512.905515,637512.905490,1673972009.702659,3716822,18997,4,TX,1,100,637512.8873690,637512.8873677,
637513.512335,637513.512311,1673972010.309463,3717410,19098,4,TX,1,100,637513.3873911,637513.3873898,
637514.032467,637514.032442,1673972010.829580,3717914,19185,4,TX,1,100,637513.8880434,637513.8880420,
